CIDS,SE_NAME,SE_FREQ,SE_ONTOLOGY
CID000119182,candida infection,4,11.03.03.021
CID000074989,infection,5,11.01.08.002
CID000077992,anxiety,4,19.06.02.002
CID000060853,bradycardia,4,02.03.02.002
CID006850789,injection site pain,4,08.02.03.010|12.07.03.011
CID054686904,jaundice,3,01.06.04.004|09.01.01.004|23.03.03.030
CID000005719,coordination abnormal,3,17.02.02.004
CID000005665,dizziness,5,02.01.02.004|17.02.05.003|24.06.02.007
CID000636380,atrial fibrillation,4,02.03.03.002
CID000005665,urinary tract infection,4,11.01.14.004|20.08.02.001
CID000003519,lethargy,4,08.01.01.008|17.02.04.003|19.04.04.004
CID000033741,dehydration,3,14.05.05.001
CID000003152,functional gastrointestinal disorder,3,07.11.01.016
CID011504294,urinary tract infection,4,11.01.14.004|20.08.02.001
CID006509979,ear infection,4,04.03.01.006|11.01.05.001
CID000005656,urine output increased,3,13.13.03.002
CID005486971,seborrhoeic dermatitis,3,23.03.04.018
CID000004510,vomiting,4,07.01.07.003
CID000002118,flat affect,3,19.04.01.004
CID010324367,encephalopathy,2,17.13.02.001
CID000062819,anaphylactic shock,1,10.01.07.002|24.06.02.004
CID000082146,bone pain,5,15.02.01.001
CID016130199,ecchymosis,5,01.01.03.001|23.06.01.001|24.07.06.002
CID070788982,injection site reaction,5,08.02.03.014|12.07.03.015
CID000657237,dyspnoea,4,02.01.03.002|22.02.01.004
CID003000226,lethargy,4,08.01.01.008|17.02.04.003|19.04.04.004
CID024821094,haemoglobin decreased,5,13.01.05.003
CID000005073,palpitations,4,02.01.02.003
CID005486971,anaphylactic shock,2,10.01.07.002|24.06.02.004
CID000134780,anaemia,5,01.03.02.001
CID000003397,cystitis,5,11.01.14.001|20.03.02.002
CID000005070,diabetes mellitus,3,05.06.01.001|14.06.01.001
CID000060814,agitation,4,17.02.05.012|19.06.02.001
CID000003032,thrombocytopenia,1,01.08.01.002
CID005281104,hypoglycaemia,4,05.06.03.001|14.06.03.001
CID000104741,depression,4,19.15.01.001
CID044462760,body temperature increased,5,13.15.01.001
CID000054373,dermatitis,4,23.03.04.002
CID000033613,renal impairment,1,20.01.03.010
CID000060853,parkinsonism,4,17.01.05.003
CID000005533,somnolence,5,17.02.04.006|19.02.05.003
CID000051634,muscle spasms,4,15.05.03.004
CID000003157,depression,4,19.15.01.001
CID006436173,cough,4,22.02.03.001
CID000043815,disturbance in attention,4,17.03.03.001|19.21.02.002
CID000003261,chills,3,08.01.09.001|15.05.03.016
CID000003386,mood swings,4,19.04.03.001
CID000003961,dyspepsia,4,07.01.02.001
CID000002156,nodal arrhythmia,4,02.03.02.005
CID000148192,torsade de pointes,3,02.03.04.005
CID000146570,erythema,2,23.03.06.001
CID000119182,diarrhoea,5,07.02.01.001
CID000005656,ventricular fibrillation,1,02.03.04.008
CID000056338,hostility,3,19.05.01.003
